timestamp_us,adc,lo_status
80613928,16224,0
80623928,9104,0
80633928,16064,0
80643927,9328,0
80653927,16256,0
80663927,9280,0
80673928,16064,0
80683928,9440,0
80693928,16144,0
80703927,9488,0
80713928,16288,0
80723928,8944,0
80733928,16112,0
80743927,9472,0
80753928,16976,0
80763927,9792,0
80773928,16800,0
80783927,9392,0
80793927,16064,0
80803927,9120,0
80813927,16320,0
80823927,9344,0
80833928,17232,0
80843928,10208,0
80853928,17536,0
80863928,10768,0
80873927,18480,0
80883927,11152,0
80893927,18512,0
80903927,10688,0
80913927,17168,0
80923928,10368,0
80933927,17728,0
80943927,9760,0
80953927,17088,0
80963928,9728,0
80973928,17504,0
80983928,9632,0
80993928,15760,0
81003928,9472,0
81013928,21872,0
81023927,12016,0
81033927,17728,0
81043928,6832,0
81053928,15520,0
81063927,9264,0
81073928,16688,0
81083927,9376,0
81093927,17184,0
81103927,9632,0
81113928,16944,0
81123927,9504,0
81133928,17280,0
81143928,10016,0
81153928,17504,0
81163928,9872,0
81173927,17536,0
81183928,9888,0
81193928,17664,0
81203928,10144,0
81213927,17776,0
81223928,10432,0
81233928,18528,0
81243928,10736,0
81253928,18800,0
81263928,10800,0
81273928,18000,0
81283928,10096,0
81293927,17680,0
81303928,9824,0
81313927,17568,0
81323928,9472,0
81333928,16576,0
81343928,8784,0
81353928,16400,0
81363927,8528,0
81373927,16512,0
81383927,8672,0
81393928,16336,0
81403927,8592,0
81413928,15856,0
81423927,8400,0
81433928,16576,0
81443927,8848,0
81453927,16768,0
81463927,9088,0
81473927,16896,0
81483928,9040,0
81493928,16880,0
81503928,9328,0
81513927,17024,0
81523927,9120,0
81533928,17056,0
81543928,9312,0
81553928,17824,0
81563928,9744,0
81573928,17728,0
81583928,9376,0
81593928,17440,0
81603928,9648,0
81613927,17840,0
81623927,9648,0
81633928,17680,0
81643928,9376,0
81653928,17248,0
81663928,8864,0
81673927,17312,0
81683927,9008,0
81693927,17216,0
81703928,8672,0
81713927,16688,0
81723928,7664,0
81733927,19760,0
81743928,13312,0
81753928,19568,0
81763927,8208,0
81773928,13904,0
81783927,7696,0
81793928,17040,0
81803927,8864,0
81813928,17312,0
81823927,9120,0
81833927,16928,0
81843927,8960,0
81853927,17536,0
81863928,9104,0
81873928,17824,0
81883927,9264,0
81893928,18064,0
81903928,9328,0
81913928,17120,0
81923928,8400,0
81933927,16688,0
81943927,8032,0
81953927,16800,0
81963928,8752,0
81973928,17712,0
81983928,9568,0
81993927,17936,0
82003928,9376,0
82013928,17376,0
82023927,8704,0
82033928,17536,0
82043928,8784,0
82053928,17424,0
82063928,8608,0
82073928,16768,0
82083928,8416,0
82093928,17232,0
82103928,8848,0
82113928,17136,0
82123927,8016,0
82133927,16592,0
82143927,7712,0
82153928,16496,0
82163927,7552,0
82173928,16336,0
82183928,8032,0
82193928,16880,0
82203928,8128,0
82213927,17056,0
82223927,8256,0
82233928,16784,0
82243928,7760,0
82253928,16960,0
82263927,8080,0
82273928,17104,0
82283927,7696,0
82293928,16752,0
82303928,8208,0
82313928,16624,0
82323927,8512,0
82333928,17984,0
82343928,9312,0
82353928,18768,0
82363928,9344,0
82373928,18144,0
82383928,8688,0
82393928,17616,0
82403928,8448,0
82413928,17600,0
82423928,8464,0
82433927,17488,0
82443927,8624,0
82453928,16080,0
82463927,7040,0
82473927,20848,0
82483928,12128,0
82493928,20080,0
82503927,8048,0
82513928,14768,0
82523928,6912,0
82533928,16560,0
82543928,7904,0
82553928,17088,0
82563927,8384,0
82573928,17872,0
82583927,8416,0
82593928,17520,0
82603928,8544,0
82613928,17488,0
82623927,8480,0
82633928,17296,0
82643928,8384,0
82653928,17040,0
82663928,8176,0
82673928,17424,0
82683928,8736,0
82693928,17408,0
82703928,8400,0
82713928,17456,0
82723927,8544,0
82733928,17392,0
82743927,8256,0
82753927,17152,0
82763927,7856,0
82773927,16720,0
82783928,7584,0
82793928,17056,0
82803927,8096,0
82813928,17072,0
82823928,8016,0
82833928,17312,0
82843928,8224,0
82853928,17488,0
